model,epoch_d,L_metal_total,metal_frac_of_all,dominant_metal,dominant_metal_L,L_C,L_O,L_Ne,overall_rank_of_dominant_metal
A1,10.0,1.544765494689296e+37,0.00027336903219401403,O_I_7774,1.5327424042074728e+37,1.1093460033889047e+35,1.5336720346553611e+37,4.572139550188499e+23,10
A1,20.0,2.0436040181788405e+37,0.00024343521239708166,O_I_7774,1.7458047283607752e+37,4.582453058222319e+29,2.0436039723543099e+37,2659113271247.544,10
A1,30.0,4.603471505738492e+37,0.0003775081450868442,O_I_7774,2.772466430416046e+37,8.566474335570124e+28,4.603471497172017e+37,94381444045.9637,10
A1,40.0,8.534544925448288e+37,0.0006321480913057778,O_I_6300,4.745876323742252e+37,4.981291437028002e+28,8.534544920466996e+37,2821469878.6943607,10
A1,50.0,1.5024269764980224e+38,0.0009164952631037848,O_I_6300,8.38774705005828e+37,8.589033633487626e+28,1.5024269756391192e+38,1540361611.3686905,10
A1,60.0,2.0865041162066582e+38,0.0012116332573030438,O_I_6300,1.1755486476246205e+38,1.4029908774726468e+29,2.0865041148036677e+38,625688352.1414158,10
A1,70.0,2.9109449148725084e+38,0.001521481710503182,O_I_6300,1.5124235620954294e+38,4.037759247636891e+29,2.9109449108347494e+38,778426157.2848415,10
A1,80.0,3.470885460193207e+38,0.002097870278548919,O_I_6300,1.9632692324149913e+38,5.087874730395093e+29,3.470885455105332e+38,199991217.50955456,10
A1,90.0,4.2479684793614656e+38,0.0027951008319674433,O_I_6300,2.390378073139545e+38,8.429674558465358e+29,4.2479684709317906e+38,187264852.70453477,10
A1,100.0,4.991929008171255e+38,0.004615293353703566,O_I_6300,3.0392181669835235e+38,8.779796417834063e+29,4.991928999391459e+38,79674208.90992425,10
A1,110.0,7.365832983416448e+38,0.008197918156085445,O_I_6300,4.285904454903651e+38,1.6323627484332446e+30,7.365832967092821e+38,150029111.84718513,10
A1,120.0,1.1816076964353646e+39,0.023875338173153363,O_I_6300,8.243284876321494e+38,8.385752943437714e+29,1.1816076955967893e+39,2.789679600962879e+16,7
A1,130.0,1.5695898033989e+39,0.1096181123044213,C_III_4647,2.898958461888004e+38,1.2256673372481963e+39,3.066193930556849e+38,3.73030730950192e+37,7
A1,140.0,3.445006694758444e+36,0.0007071409085204319,O_I_7774,3.4450066946959885e+35,2.0670040168800484e+36,1.0335020084087965e+36,3.4450066946959885e+35,10
A1,150.0,5.189475969508587e+36,0.002074050738175565,C_IV_5801,5.275984895232002e+35,3.079082011415786e+36,1.5827954685696005e+36,5.275984895232002e+35,10
A1,160.0,5.1638862851744467e+36,0.00368712519135107,C_IV_5801,5.780300892232008e+35,2.9534691996671993e+36,1.6323869962840465e+36,5.780300892232008e+35,10
A10,0.1,1.2844394122919017e+38,0.0015358912232923713,C_III_1909,9.69920748550602e+37,9.780573117846802e+37,3.06290457658524e+37,9.164284869718599e+33,10
A10,0.2,1.246930365473935e+38,0.0014902485142575192,C_III_1909,9.32791439606118e+37,9.406736725399765e+37,3.062134534795469e+37,4.323945441160636e+33,10
A10,0.3,1.2114084557888241e+38,0.0014470325373490583,C_III_1909,8.975516263074426e+37,9.051927396849716e+37,3.0619322595440085e+37,2.2490149451564246e+33,10
A10,0.4,1.4574570947241163e+38,0.0016743782378445678,C_III_1909,1.12417610469432e+38,1.1333167288261696e+38,3.2412855390214955e+37,1.18119957972209e+33,10
A10,0.5,1.411821080214125e+38,0.0016209344189464592,C_III_1909,1.0788125491993563e+38,1.087653265014498e+38,3.24152041713051e+37,1.5773486575988704e+33,10
