model,epoch_d,rank,line,species,L_line,EW,tau,frac_epoch
A1,10.0,1,Halpha,H,2.327610671624696e+40,1.922986534744691,41531.21615779521,0.4374840379633377
A1,10.0,2,He_I_10830,He,8.595997588716618e+39,24.82124891625042,167540.7056021349,0.16156532453126773
A1,10.0,3,Hbeta,H,8.048626270791375e+39,0.7765504337625109,10289.317818827509,0.1512772545653357
A1,10.0,4,He_I_5876,He,4.711653897443586e+39,13.467455143171364,77865.76008145559,0.08855748075345127
A1,10.0,5,Hgamma,H,3.7856847953575894e+39,0.34655643763182714,3658.7779908185285,0.07115350908635515
A1,10.0,6,He_I_7065,He,2.983539718843812e+39,16.19055358469079,10495.308090996099,0.056076861114952435
A1,10.0,7,Palpha,H,9.466466550333456e+38,10.892168982379836,279317.6754863869,0.017792614813859697
A1,10.0,8,Pbeta,H,7.116157291235021e+38,2.3383556130032757,39062.30218715958,0.013375111501695838
A1,10.0,9,He_I_6678,He,1.2915175740536892e+38,-0.0,0.0,0.002427460615667454
A1,10.0,10,O_I_7774,metal,1.5327424042074728e+37,-0.27491054770575785,0.0,0.00028808526456972663
A1,10.0,11,C_III_1909,metal,1.0638504214360457e+35,-0.001041238705719932,0.0,1.9995508004522666e-06
A1,10.0,12,O_I_6300,metal,9.296297210815463e+33,-9.934145286396952e-05,0.0,1.7472774512827216e-07
A1,10.0,13,C_II_4267,metal,3.838382431675059e+33,-2.061498832770736e-05,0.0,7.214398292325322e-08
A1,10.0,14,C_II_6580,metal,7.111757636108327e+32,-8.399860188925364e-06,0.0,1.3366842168194592e-08
A1,10.0,15,O_III_5007,metal,7.268069541305368e+27,-4.918719056571126e-11,0.0,1.366063684915647e-13
A1,10.0,16,Ne_III_3869,metal,4.572139550188499e+23,-0.0,0.0,8.593525098216518e-18
A1,10.0,17,He_II_1640,He,2.5968155274962528e+20,-4.63725620168728e-16,1.789207571924386e-16,4.8808220234785676e-21
A1,10.0,18,He_II_4686,He,3.836053353158165e+19,-0.0,9.882133624046704e-25,7.210020693069888e-22
A1,10.0,19,He_II_3203,He,1.6628398820450462e+19,-0.0,7.39527724228413e-26,3.1253762278713405e-22
A1,10.0,20,C_IV_1549,metal,5.566858542677654e+18,-0.0,0.0,1.046314052307287e-22
